0.147793907839185,
0.0558301105978194,
0.0624990017015513,
0.0835878401675638,
0.251380856166479,
0.091483903519739,
0.103649260249874,
0.0648185090116842,
0.0935591736935538,
0.100837229565062,
0.0818427735008818,
0.114111640867793,
0.127532304337241,
0.221111862505331,
0.0549893393166442,
0.0827857051158842,
0.0781130465455938,
0.0932786611930177,
0.24498208187051,
0.0796207824508327,
0.0922467439762669,
0.0460361136875866,
0.269476280500964,
0.0517735378345153,
0.0862611340319462,
0.0818443632747137,
0.103624733288929,
0.162320719542954,
0.0591217130024436,
0.0821739752863455,
0.118727248594548,
0.279907328370139,
0.0905106411511372,
0.104902111314609,
0.0801955167167424,
0.0780065169373448,
0.102699366667232,
0.0840900630442906,
0.110949520891501,
0.128575289505972,
0.220911820451151,
0.0558893950154089,
0.0863599535857832,
0.0792801087763043,
0.0928928911439686,
0.177709892407605,
0.101379955116168,
0.116267101011806,
0.0864157980740004,
0.214101140470121,
0.0587243563223252,
0.0815330172518816,
0.0593855686463068,
0.0661315797813967,
0.165852270596818,
0.0603294074760995,
0.0845461790141991,
0.117405868998467,
0.273382877773392,
0.0895583336988393,
0.108240953412618,
0.0826725671649013,
0.0809231589150924,
0.189334542856333,
0.0937754262938511,
0.106109498553549,
0.149225171917702,
0.231043020799443,
0.0583833183455259,
0.0570373524887132,
0.0715637158478604,
0.106439569947449,
0.194309222516709,
0.108882569339725,
0.117281313042374,
0.0875384419692768,
0.225458538134816,
0.060902171594581,
0.0830028352415695,
0.0618720340231491,
0.0678625672430513,
0.201957871215885,
0.0636914582899943,
0.126988684256768,
0.0778947850306492,
0.121329566233453,
0.0899968029679799,
0.0755462137859585,
0.0573444501365004,
0.0786132277336883,
0.211258671520705,
0.103793149447203,
0.116168107727274,
0.151135233882349,
0.263060048237999,
0.0603797580598923,
0.0584964741167416,
0.0759238701233485,
0.110102182068645,
0.145402239804761,
0.0613393421989547,
0.0594374786137338,
0.089008713064743,
0.135177631565903,
0.132236819559619,
0.0844030732003667,
0.0845253424796263,
0.101832419163169,
0.194892803011608,
0.0635047131125793,
0.12616980063957,
0.076255992272475,
0.12025349448223,
0.0841096816840433,
0.0718889001514885,
0.0528314398321108,
0.0726200459638177,
0.203611045143424,
0.0683365225677659,
0.123665766710977,
0.0971114073184519,
0.228714863967939,
0.0603371754692288,
0.117408586407538,
0.0522302551706543,
0.100093484898557,
0.137936895138389,
0.0585148088914065,
0.0606929987362048,
0.0875198150038889,
0.130881327137516,
0.127009724972164,
0.0823248570986137,
0.0807060056395817,
0.0969404385321579,
0.105099436141645,
0.055114704889476,
0.113582837521548,
0.0757032187668684,
0.0720898716107448,
0.163243724792034,
0.0887593037546649,
0.0777368220785706,
0.11119695159437,
0.203503387329705,
0.0682254637991103,
0.122874500542956,
0.0968495141303264,
